TimeStamp,Close,High,Low,Open
1/25/2019 9:18:24.000000000 AM,2945575,2945577,2945575,2945577
1/25/2019 9:18:26.000000000 AM,2945220,2945272,2945220,2945272
1/25/2019 9:18:28.000000000 AM,2944807,2945020,2944807,2945020
1/25/2019 9:18:30.000000000 AM,2944657,2944657,2944437,2944437
1/25/2019 9:18:32.000000000 AM,2945175,2945175,2944917,2944917
1/25/2019 9:18:34.000000000 AM,2944847,2945287,2944847,2945287
1/25/2019 9:18:36.000000000 AM,2944742,2944782,2944742,2944782
1/25/2019 9:18:38.000000000 AM,2944815,2944815,2944740,2944740
1/25/2019 9:18:40.000000000 AM,2944995,2944995,2944970,2944970
1/25/2019 9:18:42.000000000 AM,2944387,2944437,2944387,2944437
1/25/2019 9:18:44.000000000 AM,2944520,2944520,2944477,2944477
1/25/2019 9:18:46.000000000 AM,2945347,2945347,2944860,2944860
1/25/2019 9:18:48.000000000 AM,2945590,2945595,2945590,2945595
1/25/2019 9:18:50.000000000 AM,2945387,2945577,2945387,2945577
1/25/2019 9:18:52.000000000 AM,2945610,2945610,2945505,2945505
1/25/2019 9:18:54.000000000 AM,2945652,2945827,2945652,2945827
1/25/2019 9:18:56.000000000 AM,2945165,2945587,2945165,2945587
1/25/2019 9:18:58.000000000 AM,2945125,2945195,2945125,2945195
1/25/2019 9:19:00.000000000 AM,2944882,2944882,2944875,2944875
1/25/2019 9:19:02.000000000 AM,2945065,2945065,2944987,2944987
1/25/2019 9:19:04.000000000 AM,2945085,2945085,2944972,2944972
1/25/2019 9:19:06.000000000 AM,2945117,2945117,2945117,2945117
1/25/2019 9:19:08.000000000 AM,2945017,2945187,2945017,2945187
1/25/2019 9:19:10.000000000 AM,2944995,2945017,2944995,2945017
1/25/2019 9:19:12.000000000 AM,2944865,2944912,2944865,2944912
1/25/2019 9:19:14.000000000 AM,2944332,2944417,2944332,2944417
1/25/2019 9:19:16.000000000 AM,2944397,2944397,2944397,2944397
1/25/2019 9:19:18.000000000 AM,2944370,2944370,2944367,2944367
1/25/2019 9:19:20.000000000 AM,2944347,2944387,2944347,2944387
1/25/2019 9:19:22.000000000 AM,2944342,2944342,2944340,2944340
1/25/2019 9:19:24.000000000 AM,2944365,2944365,2944345,2944345
1/25/2019 9:19:26.000000000 AM,2944357,2944365,2944357,2944365
1/25/2019 9:19:28.000000000 AM,2944450,2944450,2944422,2944422
1/25/2019 9:19:30.000000000 AM,2944450,2944452,2944450,2944452
1/25/2019 9:19:32.000000000 AM,2944462,2944560,2944462,2944560
1/25/2019 9:19:34.000000000 AM,2944570,2944570,2944510,2944510
1/25/2019 9:19:36.000000000 AM,2944565,2944615,2944565,2944615
1/25/2019 9:19:38.000000000 AM,2944462,2944660,2944462,2944660
1/25/2019 9:19:40.000000000 AM,2944447,2944450,2944447,2944450
1/25/2019 9:19:42.000000000 AM,2944305,2944310,2944305,2944310
1/25/2019 9:19:44.000000000 AM,2944305,2944305,2944305,2944305
1/25/2019 9:19:46.000000000 AM,2944307,2944307,2944285,2944285
1/25/2019 9:19:48.000000000 AM,2944407,2944407,2944307,2944307
1/25/2019 9:19:50.000000000 AM,2944402,2944402,2944402,2944402
